Actual number of partitions = 20
Maximum partition = 23
Number of reaches = 45
Partition 0 weight = 4626
Partition 1 weight = 0
Partition 2 weight = 8043
Partition 3 weight = 4425
Partition 4 weight = 1590
Partition 5 weight = 6546
Partition 6 weight = 0
Partition 7 weight = 2848
Partition 8 weight = 9059
Partition 9 weight = 1988
Partition 10 weight = 2492
Partition 11 weight = 4660
Partition 12 weight = 4452
Partition 13 weight = 0
Partition 14 weight = 4333
Partition 15 weight = 4919
Partition 16 weight = 0
Partition 17 weight = 3788
Partition 18 weight = 3398
Partition 19 weight = 3241
Partition 20 weight = 3691
Partition 21 weight = 3340
Partition 22 weight = 4598
Partition 23 weight = 3510
